pool_size,single_core_appearance,specific_pair_adjacent,consumer_hits_2_supplies,consumer_hits_4_supplies,expected_visible_3_copies,count_build_income_3_copies,expected_visible_4_copies,count_build_income_4_copies,expected_visible_6_copies,count_build_income_6_copies
6,1.0000,0.3500,0.5775,0.8215,3.000,9.000,4.000,16.000,6.000,36.000
7,1.0000,0.3500,0.5775,0.8215,3.000,9.000,4.000,16.000,6.000,36.000
8,1.0000,0.3500,0.5775,0.8215,3.000,9.000,4.000,16.000,6.000,36.000
9,1.0000,0.3500,0.5775,0.8215,3.000,9.000,4.000,16.000,6.000,36.000
10,1.0000,0.3500,0.5775,0.8215,3.000,9.000,4.000,16.000,6.000,36.000
11,1.0000,0.3500,0.5775,0.8215,3.000,9.000,4.000,16.000,6.000,36.000
12,1.0000,0.3500,0.5775,0.8215,3.000,9.000,4.000,16.000,6.000,36.000
13,1.0000,0.3500,0.5775,0.8215,3.000,9.000,4.000,16.000,6.000,36.000
14,1.0000,0.3500,0.5775,0.8215,3.000,9.000,4.000,16.000,6.000,36.000
15,1.0000,0.3500,0.5775,0.8215,3.000,9.000,4.000,16.000,6.000,36.000
16,1.0000,0.3500,0.5775,0.8215,3.000,9.000,4.000,16.000,6.000,36.000
17,0.9412,0.3088,0.5503,0.7978,2.824,8.118,3.765,14.353,5.647,32.118
18,0.8889,0.2745,0.5254,0.7748,2.667,7.373,3.556,12.967,5.333,28.863
19,0.8421,0.2456,0.5026,0.7526,2.526,6.737,3.368,11.789,5.053,26.105
20,0.8000,0.2211,0.4816,0.7313,2.400,6.189,3.200,10.779,4.800,23.747
21,0.7619,0.2000,0.4622,0.7108,2.286,5.714,3.048,9.905,4.571,21.714
22,0.7273,0.1818,0.4443,0.6912,2.182,5.299,2.909,9.143,4.364,19.948
23,0.6957,0.1660,0.4277,0.6724,2.087,4.933,2.783,8.474,4.174,18.403
24,0.6667,0.1522,0.4122,0.6545,2.000,4.609,2.667,7.884,4.000,17.043
25,0.6400,0.1400,0.3978,0.6374,1.920,4.320,2.560,7.360,3.840,15.840
26,0.6154,0.1292,0.3844,0.6210,1.846,4.062,2.462,6.892,3.692,14.769
27,0.5926,0.1197,0.3718,0.6054,1.778,3.829,2.370,6.473,3.556,13.812
28,0.5714,0.1111,0.3600,0.5904,1.714,3.619,2.286,6.095,3.429,12.952
29,0.5517,0.1034,0.3489,0.5761,1.655,3.429,2.207,5.754,3.310,12.177
30,0.5333,0.0966,0.3385,0.5624,1.600,3.255,2.133,5.444,3.200,11.476
31,0.5161,0.0903,0.3287,0.5493,1.548,3.097,2.065,5.161,3.097,10.839
32,0.5000,0.0847,0.3194,0.5367,1.500,2.952,2.000,4.903,3.000,10.258
